,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack,level,bytes_per_second,bytes_per_connection,connection_speed_rate,outbound_ratio,probe_probability,total_error_rate,service_failure_ratio,login_attempt_score,host_connection_diversity,security_risk_score,risk_level,if_prediction,if_anomaly_score,hybrid_risk_score,hybrid_risk_level
0,25950,tcp,private,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.69,1.0,0.0,0.0,0.0,1.0,1.0,portsweep,15,3.853564547206166e-05,1,3.853564547206166e-05,1.0,0.0,1.0,0,0,255.0,0.1,Low,-1,0.7426740529218026,0.3249359185226309,Medium
1,0,tcp,ftp_data,SF,14416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,205,50,0.19,0.02,0.19,0.04,0.0,0.0,0.0,0.0,normal,21,1441600000.0,14416,10.0,1.0,1.0,0.0,0,0,205.0,0.4,High/Critical,1,0.16360619512000352,0.3172621682920012,Medium
2,36613,tcp,private,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.5,1.0,0.0,0.0,0.0,1.0,1.0,portsweep,15,2.7312703138229592e-05,1,2.7312703138229592e-05,1.0,0.0,1.0,0,0,255.0,0.1,Low,-1,0.7755481423719447,0.3364418498301806,Medium
3,0,tcp,ftp_data,SF,10389,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,81,0.32,0.02,0.31,0.0,0.0,0.0,0.0,0.0,normal,21,1038899999.9999999,10389,10.0,1.0,1.0,0.0,0,0,255.0,0.4,High/Critical,1,0.12336571787067474,0.30317800125473615,Medium
4,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,251,251,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,back,13,6285399999.999999,62854,10.0,0.8677252044420403,1.0,0.0,0,0,251.0,0.4,High/Critical,-1,0.4210635620329767,0.4073722467115418,High/Critical
5,31401,tcp,private,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.82,1.0,0.0,0.0,0.0,1.0,1.0,portsweep,15,3.1846119550332795e-05,1,3.1846119550332795e-05,1.0,0.0,1.0,0,0,255.0,0.1,Low,-1,0.7611071200617403,0.3313874920216091,Medium
6,7805,tcp,telnet,SF,1828,148722,0,0,0,1,2,1,19,0,1,10,8,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,51,7,0.14,0.08,0.02,0.0,0.0,0.0,0.0,0.0,normal,20,19.28891736066624,150550,0.00012812299807815503,0.012142145466622385,0.0,0.0,0,7,51.0,0.13999999999999999,Low,-1,0.8331851971082054,0.38261481898787186,Medium
7,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79,79,1.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,back,11,6285399999.999999,62854,10.0,0.8677252044420403,1.0,0.0,0,0,79.0,0.4,High/Critical,-1,0.4210635620329767,0.4073722467115418,High/Critical
8,0,tcp,smtp,RSTO,13794,2966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,170,96,0.43,0.42,0.01,0.02,0.0,0.0,0.41,0.04,normal,17,1675999999.9999998,16760,10.0,0.8230310262529833,1.0,1.0,0,0,170.0,0.5,High/Critical,-1,0.4510389601943371,0.48286363606801797,High/Critical
9,41285,tcp,remote_job,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.28,0.56,0.0,0.0,0.0,0.56,1.0,portsweep,15,2.422187235073271e-05,1,2.422187235073271e-05,1.0,0.0,1.0,0,0,255.0,0.1,Low,-1,0.7755481423719447,0.3364418498301806,Medium
10,0,tcp,ftp_data,SF,13239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100,63,0.33,0.04,0.33,0.03,0.0,0.0,0.0,0.0,normal,21,1323900000.0,13239,10.0,1.0,1.0,0.0,0,0,100.0,0.4,High/Critical,1,0.1592585579492238,0.31574049528222836,Medium
11,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,68,68,1.0,0.0,0.01,0.0,0.0,0.0,0.03,0.03,back,12,6285399999.999999,62854,10.0,0.8677252044420403,1.0,0.0,0,0,68.0,0.4,High/Critical,-1,0.4210635620329767,0.4073722467115418,High/Critical
12,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,214,214,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,back,11,6285399999.999999,62854,10.0,0.8677252044420403,1.0,0.0,0,0,214.0,0.4,High/Critical,-1,0.4210635620329767,0.4073722467115418,High/Critical
13,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,4,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,back,10,6285399999.999999,62854,10.0,0.8677252044420403,1.0,0.0,0,0,4.0,0.4,High/Critical,-1,0.4210635620329767,0.4073722467115418,High/Critical
14,0,tcp,http,SF,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118,118,1.0,0.0,0.01,0.0,0.0,0.0,0.02,0.02,back,11,6285399999.999999,62854,10.0,0.8677252044420403,1.0,0.0,0,0,118.0,0.4,High/Critical,-1,0.4210635620329767,0.4073722467115418,High/Critical
15,17399,tcp,other,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.73,1.0,0.0,0.0,0.0,1.0,1.0,portsweep,15,5.7474567503879534e-05,1,5.7474567503879534e-05,1.0,0.0,1.0,0,0,255.0,0.1,Low,-1,0.7110745096266384,0.3138760783693234,Medium
16,21263,tcp,private,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.66,1.0,0.0,0.0,0.0,1.0,1.0,portsweep,15,4.7030052203357944e-05,1,4.7030052203357944e-05,1.0,0.0,1.0,0,0,255.0,0.1,Low,-1,0.7240970170065031,0.3184339559522761,Medium
17,0,tcp,other,SF,6601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,1,0.05,0.0,0.0,0.0,0.05,0.38,0.0,173,1,0.01,0.06,0.32,0.0,0.01,0.0,0.0,0.0,normal,18,660100000.0,6601,10.0,1.0,1.0,0.05,0,0,173.0,0.405,High/Critical,1,0.19414217652738766,0.3311997617845857,Medium
